business_id,business_name,business_address,recent_score,recent_risk,average_score,minimum_score,maximum_score
89748,COOL!NARIA,431 2nd St,100.0,High Risk,96.5,93.0,100.0
89751,Fisherman's Grotto,2847 Taylor St,86.0,Moderate Risk,82.0,78.0,86.0
89758,An Chi Inc,4683 Mission St,85.0,Low Risk,82.5,81.0,85.0
89759,Lamas Peruvian Food Truck,Private Locations,93.0,High Risk,93.0,93.0,93.0
89772,UMA Casa,1550 Church St,98.0,Low Risk,93.2,92.0,98.0
89773,Sushi Uma Inc,2146 Irving St,84.0,Low Risk,86.85714285714286,84.0,94.0
89775,Flores,2030 Union St,91.0,High Risk,92.0,91.0,94.0
89787,CRABSTERS,2800 Leavenworth St,98.0,Low Risk,98.0,98.0,98.0
89789,Parker,1399 18th St.,100.0,High Risk,90.25,87.0,100.0
89790,What's Up Dog,300 De Haro St,96.0,Moderate Risk,96.0,96.0,96.0
89798,Tang Collection,1033 Taraval St,82.0,Moderate Risk,83.6,82.0,86.0
89803,Ushio Ramen,3128 16th St,88.0,Moderate Risk,91.0,88.0,100.0
89830,Stop-N-Wrap,1217 Geneva Ave,90.0,Low Risk,90.0,90.0,90.0
89834,Belcampo Meat Company LLC,"337 Seawall Lot A,  Land Area 1-1",96.0,Moderate Risk,96.0,96.0,96.0
89839,Cooksoo Truck LLC,Approved Private Locations,96.0,Moderate Risk,96.0,96.0,96.0
89846,El Rinconcito Catracho,5201 3rd St.,89.0,High Risk,89.0,89.0,89.0
89847,Mission Asia Noodle,5249 Mission St.,87.0,Low Risk,87.0,87.0,87.0
89865,Fermentation Lab,1230 Market St,94.0,Low Risk,94.0,94.0,94.0
89900,Tout Sweet Patisserie,170 O'Farrell St,93.0,High Risk,93.0,93.0,93.0
89906,The Fudbox,2565 3rd St    Suite 307,98.0,Low Risk,98.0,98.0,98.0
89909,The Grilled Cheeezguy LLC,529 Stevenson St,88.0,Moderate Risk,88.0,88.0,88.0
89920,King Kee,101 Cyril Magnin St,96.0,Moderate Risk,92.33333333333333,90.0,98.0
89922,Sheraton Fisherman's Wharf Hotel,2500 Mason St,90.0,Low Risk,91.5,90.0,94.0
89927,Planet Cafe,242-244 Gough St,100.0,High Risk,89.5,86.0,100.0
89931,Almanac San Francisco,2704 24th St,100.0,Low Risk,99.33333333333333,98.0,100.0
89948,"Cafe X Technologies, Inc",135 4th St,83.0,Moderate Risk,83.0,83.0,83.0
89955,Let's Roll,1152 Irving St,98.0,Low Risk,98.0,98.0,98.0
89968,The Riddler,528 Laguna St,98.0,Low Risk,98.0,98.0,98.0
89969,Red Sea Pizza and Market,1801 San Jose Ave,92.0,Low Risk,92.0,92.0,92.0
89981,Poke Origin,716 Irving St,79.0,Moderate Risk,79.0,79.0,79.0
89982,Pakwan Restaurant,1140 Ocean Ave,71.0,High Risk,77.33333333333333,71.0,90.0
89988,Vegan Picnic,1977 A Union St,94.0,Low Risk,95.0,94.0,96.0
89993,Henry's Hunan Restaurant,1016 Bryant St.,79.0,Moderate Risk,79.0,79.0,79.0
90008,Souvla,758 Valencia St,91.0,Low Risk,88.33333333333333,87.0,91.0
90010,Noeteca,1551 Dolores St,94.0,Moderate Risk,93.33333333333333,92.0,96.0
90015,Laundre,2401 Mission St,98.0,Low Risk,97.0,96.0,98.0
90029,Sharetea,865 Market St Suite 9003,96.0,Low Risk,95.0,94.0,96.0
90030,United Nations Cafe,1 United Nations Plaza,88.0,Moderate Risk,88.0,88.0,88.0
90039,Grill Restaurant & Lobby Bar,125 3rd St.,81.0,Moderate Risk,84.375,81.0,90.0
90040,St. Regis Hotel San Francisco Main Kitchen,"125 3rd St., 2nd Floor",96.0,Low Risk,94.8,94.0,96.0
